"GTIN","NAME","PRICE","STOCK","EXTERNAL_ID"
"5907644004812","Akuku állatvilág textil szenzoros babakönyv","3750.00","28","AKUKU-6953"
"5907644004508","Akuku elefánt csörgős rágóka babáknak","1650.00","24","AKUKU-1400"
"5907644004676","Akuku fekete-fehér baba csörgő","1390.00","15","AKUKU-1402"
"5907644004683","Akuku fekete-fehér babakocsi csörgő","1790.00","61","AKUKU-687"
"5907644004867","Akuku felfújható vizes játszószőnyeg babáknak, 67 x 49 cm","4150.00","153","AKUKU-901"
"5907644004768","Akuku First Book puha könyv sípolóval babáknak","1050.00","43","AKUKU-69500"
"5907644004775","Akuku First Step puha fürdőkönyv sípolóval","1050.00","33","AKUKU-6954"
"5907644001620","Akuku kacsás fürdőjáték szett babáknak, 4 db","1690.00","56","AKUKU-6900"
"5907644006441","Akuku krokodil plüss csörgő sípoló babajáték","2250.00","6","AKUKU-140328"
"5907644004492","Akuku oroszlán csörgős rágóka babáknak","1650.00","30","AKUKU-140"
"5907644007028","Akuku panda kiságyra akasztható szenzoros játék","4950.00","22","AKUKU-99995"
"5907644004829","Akuku puha plüss súlyzó babajáték","2350.00","27","AKUKU-140325"
"5907644006434","Akuku róka plüss csörgő sípoló babajáték","2090.00","6","AKUKU-140327"
"5907644007035","Akuku sárkány kiságyra akasztható szenzoros játék","4950.00","11","AKUKU-99996"
"5907644006816","Akuku sötét kulcsos baba csörgő","1390.00","21","AKUKU-152"
"5907644004744","Akuku számos fürdőkönyv sípolóval babáknak","1050.00","9","AKUKU-69501"
"5907644006793","Akuku tehén baba csörgő","1550.00","26","AKUKU-15"
"5907644004805","Akuku tengeri állatos textil szenzoros babakönyv","3750.00","25","AKUKU-6952"
"5907644006809","Akuku világos kulcsos baba csörgő","1390.00","39","AKUKU-151"
"5907644007042","Akuku Zoo szenzoros babakönyv","3550.00","11","AKUKU-6957"
"5907644003587","Akuku zsiráfos vízzel töltött baba rágóka","890.00","117","AKUKU-63"
"5901435416839","BabyOno autós baba csörgő","1090.00","11","ON-868"
"5901435416815","BabyOno bagoly szenzoros baba csörgő","850.00","20","ON-866"
"5904341208666","BabyOno banán alakú gél baba rágóka","1050.00","5","ONO-9555"
"5901435418420","BabyOno Bingo tehén sípolós plüss babajáték","2990.00","24","ON-8637"
"5901435418444","BabyOno Bingo tehén szenzoros babakönyv","6550.00","14","ON-8639"
"5901435418468","BabyOno Bingo tehén zenélő plüss babajáték","6550.00","20","ON-86392"
"5901435416891","BabyOno Coco koala baba csörgő","3150.00","0","ON-852"
"5901435416860","BabyOno Coco koala puha plüss babajáték","3190.00","1","ON-85"
"5901435416884","BabyOno Coco koala sípolós plüss játék rágókával","2350.00","2","ON-851"
"5901435416600","BabyOno csörgős baba rágóka","1650.00","38","ON-8691"
"5901435416624","BabyOno csörgős baba rágóka","1950.00","11","ON-8693"
"5901435416655","BabyOno csörgős baba rágóka","1790.00","21","ON-8696"
"5901435416686","BabyOno csörgős baba rágóka","1650.00","0","ON-8699"
"5901435416808","BabyOno elefánt szenzoros baba csörgő","1090.00","1","ON-865"
"5901435417157","BabyOno epres fejlesztő rágóka csörgővel","2590.00","41","ONO-96221"
"5901435414668","BabyOno Farm szenzoros babakönyv","3690.00","28","ON-737"
"5901435412800","BabyOno fekete-fehér szenzoros babakönyv","2950.00","31","ON-734"
"5901435414446","BabyOno felfújható vizes szenzoros játszószőnyeg","3190.00","105","ONO-778"
"5901435414675","BabyOno Forest Trip szenzoros babakönyv","3590.00","61","ON-738"
"5901435412824","BabyOno Go to the Ocean szenzoros babakönyv","3990.00","12","ON-735"
"5901435415542","BabyOno Happy Panda lapos plüss szenzoros babajáték","1950.00","4","ON-763"
"5901435418390","BabyOno Karo nyuszi akasztós babajáték","4650.00","0","ON-8635"
"5901435418369","BabyOno Karo nyuszi sípolós plüss babajáték","2990.00","8","ON-8632"
"5901435418383","BabyOno Karo nyuszi szenzoros babakönyv","6550.00","15","ON-8634"
"5901435418406","BabyOno Karo nyuszi zenélő plüss babajáték","6550.00","14","ON-8636"
"5901435418307","BabyOno kontrasztos egér akasztós babajáték","3190.00","41","ON-8561"
"5901435418314","BabyOno kontrasztos egér baba csörgő","2850.00","18","ON-8562"
"5901435418321","BabyOno kontrasztos egér babakocsi körforgó játék","4650.00","9","ON-8563"
"5901435415580","BabyOno Little Birdie komfortkendő babáknak","3190.00","26","ON-767"
"5901435415573","BabyOno Little Birdie lapos plüss szenzoros babajáték","1950.00","10","ON-766"
"5901435416099","BabyOno Lulu láma zörgő plüss babajáték","2350.00","16","ON-7404"
"5901435416518","BabyOno Lulu láma zörgő plüss babajáték","2350.00","5","ON-7405"
"5901435411377","BabyOno Maggie vidra puha plüss babajáték","3390.00","13","ON-76"
"5901435412817","BabyOno My Contrast Book kontrasztos szenzoros babakönyv","3050.00","35","ON-732"
"5901435412794","BabyOno My Life szenzoros babakönyv","3450.00","11","ON-731"
"5901435416587","BabyOno Nature babakocsi és autósülés akasztós játék","4550.00","6","ON-81408"
"5901435416822","BabyOno oroszlán baba csörgő","1090.00","7","ON-867"
"5901435415924","BabyOno papagáj baba csörgő","990.00","2","ONO-9364"
"5901435416105","BabyOno Polly panda zörgő plüss babajáték","3050.00","10","ON-7406"
"5901435409374","BabyOno puha szilikon baba rágóka","1690.00","0","ONO-9002"
"5901435416167","BabyOno Safari szenzoros babakönyv állvánnyal","7050.00","16","ON-7392"
"5901435409473","BabyOno Sofia bagoly plüss alvótárs babáknak","3850.00","0","ON-65"
"5901435409312","BabyOno Sweet Lambie sípolós plüss bárány rágókával","2490.00","1","ON-56"
"5901435416563","BabyOno teknős tapadókorongos szenzoros játék","3190.00","0","ON-872"
"5901435416495","BabyOno XPE fejlesztő játszószőnyeg, 150 x 200 cm","10490.00","116","ONO-77802"
"5901435416068","BabyOno Zoe liba puha plüss babajáték","3550.00","7","ON-7401"
"8058664112524","Chicco 3 az 1-ben babatornáztató játszószőnyeg","28750.00","3","CHICZ-08"
"8058664165872","Chicco bagoly baba csörgő","3350.00","0","CHIC-7307"
"8058664184910","Chicco Daddy fa maci figura szett","2050.00","6","CHICZ-149"
"8058664144419","Chicco ECO+ 2 az 1-ben rakosgató pohártorony","5250.00","1","CHICZ-162"
"8058664175611","Chicco felfújható unikornis ugráló játék","13690.00","1","CHICZ-197"
"8058664162727","Chicco kaméleon baba csörgő rágókával","4050.00","1","CHIC-7312"
"8058664112548","Chicco kék 3 az 1-ben babatornáztató játszószőnyeg","28750.00","4","CHICZ-080"
"8058664104574","Chicco maci és nyuszi zenélő kiságyforgó","13750.00","0","CHICZ-092"
"8058664160570","Chicco Magical Forest hasalós játszópárna babáknak","9450.00","11","CHICZ-087"
"8058664164875","Chicco majom babakocsi plüss függő játék","3190.00","0","CHICZ-1283"
"8058664177028","Chicco Maxi Doudou bézs plüss komfortkendő babáknak","8150.00","24","CHICZ-1244"
"8058664183128","Chicco Maxi Doudou kék plüss komfortkendő babáknak","8150.00","4","CHICZ-1246"
"8058664177493","Chicco Maxi Doudou rózsaszín plüss komfortkendő babáknak","8150.00","20","CHICZ-1245"
"8058664177035","Chicco melegítő plüss maci alvótárs","8050.00","5","CHICZ-1211"
"8058664184927","Chicco Mom fa maci figura szett","2050.00","4","CHICZ-1491"
"8058664164820","Chicco mosómedve babakocsi plüss függő játék","3390.00","2","CHICZ-1282"
"8058664089772","Chicco Next2Dreams kék zenélő kiságyforgó","18850.00","11","CHICZ-091"
"8058664051946","Chicco Next2Dreams szürke zenélő kiságyforgó","18850.00","19","CHICZ-0911"
"8058664162734","Chicco nyuszi plüss játék rágókával","6850.00","6","CHICZ-06122"
"8058664097692","Chicco nyuszis baba csörgő","5250.00","5","CHICZ-122"
"8058664137428","Chicco Panda Boxing Coach felfújható boxjáték gyerekeknek","9250.00","6","CHICZ-17"
"8058664060351","Chicco rózsaszín projektoros maci éjszakai fény","15850.00","6","CHICZ-0611"
"8058664149254","Chicco semleges Rainbow projektoros kiságyforgó","22050.00","14","CHICZ-0935"
"8058664165889","Chicco süni szenzoros baba csörgő","3350.00","0","CHICZ-1233"
